"IID","IName","IUseLevel","IID Desc","Класс","SPID","SPID Desc","SID","SID Desc","SID Type","SID Type Desc","SID Анимация","SID Эффект","AID","AID Описание","AID Type","AID Type Описание","ALevel","AID Effect","MID","MID Type","MID Type Описание","MID Level","MID A Param","MID A Param Описание","MID B Param","MID B Param Описание","MID C Param","MID C Param Описание"
,,,,,,,"667","","1","Проп","","0","834","Скорость перемещения повышена.","46","Перемещение на драконе","12","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
,,,,,,,"667","","1","Проп","","0","834","Скорость перемещения повышена.","46","Перемещение на драконе","12","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
,,,,,,,"667","","1","Проп","","0","834","Скорость перемещения повышена.","46","Перемещение на драконе","12","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"860","Жезл призыва дракона","0","Вызывает дракона.",,,,"76","","0",,"","0","107","Увеличена скорость перемещения.","46","Перемещение на драконе","1","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1023","Жезл призыва дракона (II)","0","Посох призыва дракона, продающийся в магазине.",,,,"114","","0",,"","0","173","Скорость перемещения повышена.","46","Перемещение на драконе","2","1094","180","43","Удаление","2","700","а это скорость","0","","0",""
"1123","Кольцо призыва дракона","0","Кольцо, призывающее дракона - победителя Гонки драконов.\n\nПризыв дракона",,,,"153","","1","Проп","","0","207","Скорость перемещения повышена.","46","Перемещение на драконе","3","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1399","Кольцо дракона","0","льцо призыва дракона.",,,,"114","","0",,"","0","173","Скорость перемещения повышена.","46","Перемещение на драконе","2","1094","180","43","Удаление","2","700","а это скорость","0","","0",""
"1582","Боевой дракон","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1583","Боевой дракон","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1584","Боевой дракон","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1615","Королевский дракон","0","Кольцо победителей чемпионата гильдий.",,,,"249","","1","Проп","","0","317","Скорость перемещения повышена.","46","Перемещение на драконе","4","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1616","Чемпион драконов","0","Кольцо победителей чемпионата гильдий.",,,,"250","","1","Проп","","0","318","Скорость перемещения повышена.","46","Перемещение на драконе","9","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1618","Книга призыва дракона","0","Книга, вызывающая ездового дракона. Предмет может быть использован любым классом и не расходует MP.",,,,"251","","1","Проп","","0","319","Скорость перемещения повышена.","46","Перемещение на драконе","25","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
